Method,Final_Mean_Return,Final_Std_Return,Final_Mean_Bumps,Final_Std_Bumps,Best_Mean_Return,Best_Return_Episode,Lowest_Mean_Bumps,Lowest_Bumps_Episode,Data_Points
Q_learning_4_actions,-7.308799999999986,0.3079418126854477,7.344000000000002,0.6401333194473371,-7.308799999999986,599,7.308000000000001,574,576
Q_learning_5_actions,-3.9021333333333312,0.48431035045263604,4.290666666666666,1.105088030681518,-3.820799999999998,594,4.133333333333335,570,576
Oracle_method_5_actions,-1.7384000000000017,0.06648989898222644,0.18800000000000008,0.08711677986090473,-1.7348000000000012,563,0.1613333333333334,313,576
Q_table_reuse_5_actions,-1.684266666666668,0.051886371578243565,0.16666666666666677,0.07011102306738617,-1.6756000000000013,385,0.12533333333333338,300,576
