Method,Return_Mean,Return_Std,Return_Range,Return_Final,Bumps_Mean,Bumps_Std,Bumps_Range,Bumps_Final
Retrain from scratch,-14.881425925925917,4.530502652249967,-15.3 - -14.5,-7.308799999999986,20.40534027777778,8.039960768780656,19.7 - 21.1,7.344000000000002
Q-learning (naive expansion),-8.866684953703697,3.6804236380307414,-9.2 - -8.6,-3.9021333333333312,13.35677777777778,7.151044415647822,12.8 - 13.9,4.290666666666666
Proposed method,-3.454222453703702,2.936934637570267,-3.7 - -3.2,-1.7384000000000015,3.4865625,6.062882125282928,3.0 - 4.0,0.188
Q-table reuse only,-5.92493541666666,2.7136143628741474,-6.1 - -5.7,-2.153733333333334,8.820814814814817,6.341730602901745,8.3 - 9.3,0.9813333333333336
