Method,Episode,Discounted Return (mean±std),Total Bumps (mean±std),Return_Mean,Return_Std,Bumps_Mean,Bumps_Std
Q learning (4 actions),575,-7.7±0.3,7.3±0.6,-7.667999999999988,0.3233804776626638,7.344000000000002,0.6401333194473371
Q learning (5 actions),575,-4.0±0.5,4.3±1.1,-3.955466666666665,0.481988916423972,4.290666666666666,1.105088030681518
Adaptation to 5 actions (Ours),575,-1.7±0.0,0.2±0.1,-1.7385333333333357,0.0497619220779191,0.188,0.0871167798609047
Adapted to 5 actions by only reusing the Q-Table,575,-2.6±0.4,1.0±0.6,-2.5622666666666665,0.3597475905254801,0.9813333333333336,0.5540381053882687
